Sex,Length,Diameter,Height,Whole_Weight,Older_12
NA,0.56,0.45,0.16,NA,0
F,0.62,0.475,0.175,1.0165,0
F,NA,NA,0.2,1.5675,1
M,0.62,0.49,0.19,1.218,1
F,0.63,0.48,0.15,1.0525,1
NA,NA,NA,0.185,NA,NA
NA,NA,NA,0.16,NA,NA
F,0.585,0.46,0.17,0.9325,0
M,0.615,NA,0.18,1.1595,NA
NA,0.61,0.485,0.17,NA,1
NA,0.58,0.45,0.15,NA,1
I,0.355,0.275,0.085,0.22,0
F,0.51,0.4,0.14,0.8145,0
NA,NA,NA,0.155,NA,NA
F,0.505,NA,0.15,NA,1
NA,0.64,0.5,0.185,NA,1
M,NA,0.45,NA,0.922,NA
M,0.585,0.46,0.185,0.922,0
F,0.45,0.345,0.12,0.4165,0
M,0.5,0.4,0.165,0.825,1
F,0.5,NA,0.145,NA,1
F,0.53,0.435,0.17,0.8155,1
M,0.42,0.335,0.115,0.369,0
F,0.44,0.34,0.14,0.482,0
I,0.4,NA,0.11,NA,0
I,0.435,0.34,0.11,0.3795,0
NA,0.525,0.415,0.17,NA,1
I,0.37,0.28,0.095,0.2655,0
NA,NA,0.365,NA,NA,0
NA,NA,NA,0.09,NA,NA
NA,NA,0.325,NA,NA,1
M,0.5,0.405,0.14,NA,NA
F,NA,0.395,NA,0.66,NA
M,0.55,0.405,0.14,0.8025,0
M,NA,NA,0.13,0.46,0
I,0.405,0.3,0.12,0.324,0
M,0.47,0.36,0.135,0.501,0
F,0.415,0.305,0.13,0.32,0
F,0.445,NA,0.125,NA,0
NA,NA,0.35,NA,NA,1
NA,NA,NA,0.15,NA,NA
F,0.445,NA,0.15,NA,1
I,0.425,0.38,0.105,0.3265,0
F,0.5,0.37,0.135,0.45,0
F,0.39,0.29,0.125,0.3055,0
I,0.365,0.27,0.085,0.205,0
F,0.58,0.465,0.165,1.1015,1
F,0.53,0.415,0.16,0.783,1
NA,NA,0.445,NA,NA,1
M,0.565,0.44,0.175,0.9025,1
NA,NA,0.505,NA,NA,1
I,NA,NA,0.075,0.1155,0
I,0.44,0.35,0.135,0.435,1
NA,0.295,0.225,0.08,NA,0
I,0.075,NA,0.01,0.002,NA
I,0.13,0.1,0.03,0.013,0
I,0.11,0.09,0.03,0.008,0
I,0.16,0.12,0.035,0.021,0
M,0.565,0.425,0.16,0.9425,1
I,0.27,0.2,0.07,0.1,0
I,0.23,0.175,0.065,0.0645,0
I,0.3,0.23,0.08,0.1275,0
I,0.33,0.255,0.085,0.1655,0
I,NA,0.26,NA,0.174,NA
I,0.32,0.245,0.08,0.1585,1
I,0.36,0.275,0.085,0.1975,0
I,0.305,0.245,0.075,0.156,0
I,0.345,0.27,0.11,0.2135,0
I,0.33,0.25,0.105,0.1715,0
M,0.59,NA,0.18,NA,1
NA,NA,NA,0.155,NA,NA
F,0.575,0.46,0.185,1.094,1
M,0.6,NA,0.165,NA,1
M,0.56,0.45,0.175,1.011,1
M,0.56,0.45,0.185,NA,NA
M,0.545,0.46,0.16,NA,NA
NA,0.635,0.505,0.17,NA,1
F,0.59,0.475,0.16,1.1015,1
F,0.54,0.475,0.155,0.928,1
NA,0.57,0.44,0.125,NA,1
M,NA,0.42,NA,0.8945,NA
I,0.245,0.195,0.06,0.095,0
M,0.27,0.2,0.08,0.1205,0
F,0.46,0.38,0.13,0.639,1
M,0.52,0.45,0.15,NA,NA
M,0.35,NA,0.11,NA,0
NA,NA,NA,0.15,NA,NA
F,0.45,0.36,0.125,0.4995,1
F,NA,0.525,NA,1.779,NA
M,NA,0.5,NA,1.187,NA
M,0.62,0.485,0.205,1.219,1
NA,NA,0.505,NA,NA,1
M,0.63,0.515,0.155,1.259,1
NA,NA,NA,0.215,NA,NA
NA,0.66,0.53,0.185,NA,1
M,NA,0.5,NA,1.642,NA
NA,NA,0.525,NA,NA,1
F,NA,0.425,NA,0.712,NA
NA,0.535,0.415,0.185,NA,1
NA,NA,NA,0.105,NA,NA
F,0.455,0.355,0.12,0.4495,0
NA,NA,0.395,NA,NA,1
M,0.515,0.38,0.175,0.9565,1
F,NA,NA,0.17,0.879,0
M,0.53,0.435,0.155,0.699,0
F,0.495,0.4,0.155,0.6445,1
M,0.44,0.355,0.125,0.4775,0
F,0.535,0.435,0.16,0.8105,0
M,0.54,0.435,0.18,0.996,1
F,0.565,0.505,0.21,1.2765,1
M,0.61,0.475,0.165,1.116,1
F,0.565,0.455,0.175,1.013,1
M,0.6,NA,0.195,NA,1
I,0.295,0.215,0.085,0.128,0
I,0.275,0.205,0.075,0.1105,0
I,0.28,0.21,0.085,0.1065,0
M,0.49,0.395,0.14,0.549,1
M,0.37,0.28,0.105,0.234,0
F,0.405,0.305,0.095,0.3485,0
NA,NA,NA,0.175,NA,NA
M,0.37,NA,0.1,0.252,NA
NA,0.36,0.27,0.1,NA,0
F,0.47,0.36,0.13,0.472,0
I,0.2,0.145,0.06,0.037,0
I,0.165,0.12,0.03,0.0215,0
M,NA,NA,0.24,1.5415,1
M,0.55,0.41,0.125,0.7605,1
M,0.57,0.435,0.145,0.9055,0
F,0.63,0.485,0.19,1.2435,1
M,0.56,0.44,0.14,0.971,1
M,NA,NA,0.195,1.3305,1
F,0.62,0.47,0.2,1.2255,1
NA,NA,0.485,NA,NA,1
I,0.45,0.355,0.11,0.4585,0
F,NA,0.535,NA,1.242,NA
M,0.45,0.35,0.1,0.3675,0
NA,NA,0.455,NA,NA,1
I,NA,NA,0.095,0.172,0
I,0.265,0.21,0.06,0.0965,0
I,0.19,0.145,0.04,0.038,0
NA,0.385,0.31,0.1,NA,1
I,0.265,0.205,0.07,0.1055,0
M,0.335,NA,0.105,0.222,NA
I,0.355,0.275,0.09,0.251,0
I,0.32,0.255,0.1,0.1755,0
NA,NA,0.4,NA,NA,1
M,0.36,0.295,0.105,0.241,0
I,0.36,0.28,0.09,0.2255,0
M,0.5,NA,0.155,0.5955,NA
F,0.4,0.325,0.12,0.3185,0
I,0.3,NA,0.08,0.121,NA
I,0.235,0.175,0.04,0.0705,0
F,0.74,NA,0.195,NA,1
M,0.62,0.465,0.19,1.3415,1
M,0.6,0.475,0.19,1.0875,1
M,NA,0.45,NA,1.283,NA
M,0.62,0.475,0.185,1.325,1
NA,0.565,0.45,0.195,NA,1
M,0.575,NA,0.145,1.165,NA
F,0.62,0.51,0.205,NA,NA
M,NA,NA,0.185,1.274,1
NA,0.505,0.375,0.18,NA,1
F,NA,NA,0.155,0.746,0
M,0.49,0.39,0.14,0.707,1
F,0.525,0.42,0.16,0.756,0
I,0.34,NA,0.08,0.2,NA
I,0.375,0.305,0.115,0.2715,0
NA,0.61,0.48,0.15,NA,1
F,0.61,0.495,0.185,1.153,0
F,0.585,0.45,0.17,0.8685,1
M,0.57,0.46,0.14,NA,NA
M,0.58,NA,0.17,NA,0
NA,NA,0.515,NA,NA,1
M,NA,0.58,NA,2.13,NA
NA,NA,NA,0.185,NA,NA
F,0.645,NA,0.19,1.8085,NA
NA,0.745,0.585,0.215,NA,1
F,NA,NA,0.18,1.768,1
NA,NA,NA,0.18,NA,NA
F,0.59,0.465,0.15,0.997,1
F,0.65,NA,0.175,1.4225,NA
F,NA,0.48,NA,1.029,NA
F,0.62,NA,0.175,1.186,NA
NA,NA,0.515,NA,NA,1
M,NA,0.465,NA,0.887,NA
F,0.58,0.455,0.12,1.0735,0
NA,NA,NA,0.18,NA,NA
F,0.69,0.56,0.215,1.719,1
NA,NA,0.545,NA,NA,1
F,0.66,0.565,0.195,1.7605,1
F,NA,0.58,NA,1.787,NA
F,NA,NA,0.17,1.31,1
M,0.685,0.52,0.15,NA,NA
F,0.675,0.545,0.195,NA,NA
M,NA,NA,0.19,1.1775,1
F,0.585,0.45,0.16,NA,NA
NA,0.565,0.465,0.175,NA,1
F,NA,NA,0.185,1.1085,1
M,0.605,NA,0.18,1.1405,NA
M,0.535,0.42,0.145,0.791,0
NA,0.485,0.4,0.135,NA,0
NA,0.47,0.375,0.12,NA,1
M,0.545,0.425,0.135,0.8445,0
NA,0.455,0.37,0.105,NA,0
M,NA,NA,0.155,0.7385,1
M,0.46,0.38,0.135,0.482,0
M,0.49,NA,0.125,NA,1
I,0.465,NA,0.12,NA,0
I,0.415,0.325,0.1,NA,NA
M,NA,0.375,NA,0.593,NA
F,0.47,0.375,0.125,0.5615,0
I,0.365,0.295,0.095,0.25,0
I,0.345,0.275,0.095,0.1995,0
NA,NA,NA,0.1,NA,NA
F,0.5,0.395,0.14,0.7155,0
M,0.47,0.38,0.145,0.5865,0
NA,NA,NA,0.15,NA,NA
M,0.585,0.455,0.15,NA,NA
F,0.485,NA,0.12,NA,0
M,0.515,0.455,0.135,0.7225,0
NA,NA,NA,0.11,NA,NA
NA,NA,NA,0.14,NA,NA
I,0.44,0.345,0.12,0.365,0
F,NA,NA,0.15,0.8425,1
M,0.45,0.355,0.115,0.479,0
M,0.59,0.485,0.12,0.911,1
M,0.555,NA,0.145,NA,1
M,0.57,0.44,0.095,0.827,0
M,0.59,0.5,0.165,1.1045,1
NA,NA,0.475,NA,NA,1
NA,0.58,0.46,0.12,NA,1
M,0.545,NA,0.12,0.8565,NA
F,0.605,0.495,0.17,1.2385,1
F,0.62,0.47,0.14,1.0325,1
F,0.63,0.5,0.17,1.3135,1
M,NA,NA,0.165,1.352,1
F,0.63,0.5,0.155,1.005,1
M,0.545,0.41,0.14,0.625,1
F,0.67,0.54,0.165,1.5015,1
I,0.49,0.38,0.12,0.529,1
F,0.49,0.39,0.135,0.5785,1
NA,NA,NA,0.07,NA,NA
I,0.26,0.2,0.07,0.092,0
M,0.58,NA,0.175,1.068,NA
F,NA,0.485,NA,1.0915,NA
M,0.6,0.5,0.16,1.015,1
NA,NA,0.455,NA,NA,1
F,0.575,NA,0.17,1.0475,NA
NA,0.57,0.45,0.175,NA,1
M,0.6,NA,0.155,NA,1
NA,NA,NA,0.17,NA,NA
M,0.545,0.42,0.14,0.7505,1
I,0.44,0.345,0.1,0.366,1
M,0.5,NA,0.15,NA,1
I,0.36,NA,0.095,0.217,NA
I,0.385,NA,0.095,NA,1
M,0.39,NA,0.09,0.3055,NA
NA,0.5,0.415,0.165,NA,1
I,0.36,0.275,0.11,0.2335,0
I,0.335,0.26,0.1,0.192,0
F,0.505,0.425,0.14,0.85,1
I,0.395,0.295,0.1,0.2715,0
F,0.41,0.325,0.105,0.3635,0
F,0.56,0.455,0.19,0.714,0
NA,NA,NA,0.185,NA,NA
NA,0.565,0.455,0.185,NA,1
M,NA,NA,0.175,1.098,1
F,0.565,NA,0.15,NA,1
M,0.725,NA,0.215,NA,1
F,0.675,0.535,0.16,1.41,1
F,NA,0.555,NA,1.4385,NA
F,0.565,0.49,0.155,0.9245,1
NA,NA,0.55,NA,NA,1
M,0.575,0.47,0.14,0.8375,1
F,NA,NA,0.175,1.221,1
I,0.36,0.28,0.105,0.199,0
I,0.415,NA,0.11,NA,0
F,0.525,0.41,0.135,0.7085,1
M,0.38,0.285,0.1,0.2665,1
F,0.585,NA,0.17,NA,1
I,0.24,0.185,0.07,0.0715,0
I,0.22,0.165,0.055,0.0545,0
I,0.255,0.195,0.07,0.0735,0
I,0.175,0.125,0.05,0.0235,0
F,0.67,0.55,0.19,1.3905,1
M,0.655,0.53,0.195,1.388,1
F,0.68,NA,0.21,NA,1
NA,NA,0.555,NA,NA,1
NA,0.53,0.44,0.135,NA,0
F,NA,NA,0.12,0.646,0
I,0.43,NA,0.12,NA,0
F,0.52,NA,0.12,NA,1
F,0.545,0.415,0.16,0.7715,0
M,0.53,0.415,0.175,0.7395,1
F,NA,NA,0.115,0.421,0
M,0.665,0.54,0.175,NA,NA
NA,NA,NA,0.225,NA,NA
NA,0.66,0.545,0.185,NA,1
NA,NA,NA,0.185,NA,NA
M,0.575,0.4,0.155,0.9325,1
M,0.57,NA,0.125,NA,1
NA,NA,NA,0.15,NA,NA
M,0.63,NA,0.145,1.0115,NA
F,0.585,0.465,0.14,0.908,1
M,0.55,0.45,0.13,0.92,1
F,0.625,0.515,0.15,1.2415,1
M,0.54,0.42,0.135,0.8075,1
F,0.57,0.455,0.165,NA,NA
M,0.59,NA,0.145,NA,1
M,0.58,NA,0.13,NA,1
NA,0.655,0.51,0.155,NA,1
M,0.655,0.53,0.175,1.2635,1
NA,NA,NA,0.195,NA,NA
F,0.625,0.5,0.15,NA,NA
F,0.64,0.52,0.175,1.248,1
NA,NA,NA,0.165,NA,NA
NA,0.615,0.525,0.155,NA,1
NA,NA,NA,0.175,NA,NA
F,0.58,0.44,0.18,0.854,1
NA,NA,NA,0.225,NA,NA
F,0.62,0.47,0.225,1.115,1
F,0.6,NA,0.19,1.129,NA
F,0.625,NA,0.19,1.1745,NA
M,0.6,NA,0.175,NA,1
M,0.56,0.46,0.235,0.8395,1
M,0.585,0.455,0.225,1.055,1
M,0.56,0.435,0.18,0.889,1
I,0.56,0.445,0.155,NA,NA
NA,0.68,0.53,0.185,NA,0
F,NA,0.35,NA,0.5185,NA
NA,NA,NA,0.145,NA,NA
M,NA,NA,0.085,0.146,0
F,0.275,0.195,0.07,0.08,0
M,0.27,0.195,0.08,0.1,0
M,0.4,NA,0.115,NA,0
M,0.28,0.2,0.08,0.0915,0
M,0.325,0.23,0.09,0.147,0
F,0.345,0.25,0.09,0.203,0
M,0.21,0.15,0.05,0.0385,0
F,0.36,0.27,0.09,0.1885,0
I,0.365,0.26,0.115,0.218,0
M,0.2,0.14,0.055,0.035,0
M,0.235,0.16,0.06,0.0545,0
M,0.175,0.125,0.04,0.024,0
M,0.155,0.11,0.04,0.0155,0
F,0.57,NA,0.155,0.733,NA
NA,0.57,0.45,0.16,NA,1
NA,0.385,0.3,0.095,NA,0
I,0.53,0.42,0.185,0.752,1
F,0.46,NA,0.13,NA,1
NA,NA,0.37,NA,NA,1
F,0.435,NA,0.11,NA,0
I,0.47,NA,0.14,0.4985,NA
I,0.465,0.38,0.13,0.454,1
NA,0.52,0.405,0.14,NA,1
M,0.29,0.23,0.075,0.1165,0
M,0.275,0.205,0.07,0.094,0
F,0.375,0.29,0.115,0.2705,0
F,0.5,0.375,0.14,0.604,1
F,0.44,0.355,0.115,0.415,1
M,NA,0.325,NA,0.2885,NA
M,0.445,0.35,0.115,0.3615,0
NA,NA,NA,0.105,NA,NA
M,NA,NA,0.075,0.1555,1
M,0.255,0.195,0.065,0.08,0
M,0.205,0.155,0.045,0.0425,0
NA,NA,0.45,NA,NA,1
I,0.555,0.425,0.18,NA,NA
NA,0.65,0.515,0.16,NA,1
I,0.615,0.49,0.155,0.9885,1
I,0.56,0.44,0.165,0.8,1
I,0.48,0.37,0.12,0.514,1
I,0.485,0.39,0.125,0.591,0
I,0.5,0.385,0.15,0.6265,0
I,NA,NA,0.15,0.795,1
F,0.66,0.5,0.165,1.1905,1
NA,NA,NA,0.17,NA,NA
I,0.52,0.4,0.145,0.66,1
F,0.44,0.34,0.105,0.364,0
I,0.515,0.4,0.12,NA,NA
F,0.475,0.35,0.115,0.452,1
NA,NA,NA,0.15,NA,NA
F,0.47,0.355,0.13,0.5465,1
M,0.35,0.255,0.065,0.179,0
I,0.485,0.355,0.13,0.581,1
I,0.435,0.33,0.125,0.406,1
M,0.28,0.21,0.08,0.1085,0
NA,NA,0.32,NA,NA,1
I,0.45,0.35,0.14,0.474,1
I,0.45,0.345,0.135,0.443,1
F,0.59,0.455,0.155,1.066,1
F,0.57,0.44,0.14,0.9535,1
I,0.61,0.475,0.15,0.9665,0
F,0.61,0.475,0.14,1.133,1
I,0.56,0.425,0.14,NA,NA
F,0.585,0.435,0.175,0.982,0
I,NA,0.445,NA,0.8865,NA
F,0.63,NA,0.175,1.3675,NA
F,0.625,0.49,0.175,1.233,1
I,0.55,NA,0.15,NA,1
F,0.645,NA,0.19,1.4635,NA
I,0.46,NA,0.14,0.4935,NA
F,0.41,0.305,0.1,0.363,1
I,0.495,0.39,0.125,0.6655,1
I,NA,0.425,NA,0.6805,NA
F,0.55,0.41,0.145,0.8285,1
NA,0.45,0.335,0.14,NA,1
F,0.405,0.31,0.12,0.3095,1
I,0.51,0.4,0.15,0.745,1
F,0.37,0.29,0.115,0.25,0
I,0.525,0.41,0.175,0.874,1
F,NA,NA,0.18,1.514,1
M,NA,NA,0.15,0.6995,1
I,0.575,NA,0.18,NA,1
F,0.55,0.43,0.14,0.7135,0
NA,NA,0.47,NA,NA,1
NA,NA,NA,0.145,NA,NA
F,NA,NA,0.195,0.981,1
I,0.535,0.42,0.145,0.926,1
F,0.385,0.315,0.11,0.286,0
F,0.39,0.3,0.1,0.265,1
I,0.47,0.345,0.115,0.4885,1
I,0.515,0.39,0.14,0.5555,1
I,0.425,0.345,0.125,0.425,1
M,0.345,0.27,0.09,0.195,0
NA,NA,0.37,NA,NA,0
M,NA,0.285,NA,0.228,NA
M,0.35,0.265,0.09,0.1775,1
NA,NA,NA,0.17,NA,NA
M,0.195,0.145,0.05,0.032,0
M,0.325,0.24,0.075,0.155,0
I,0.495,0.37,0.125,0.4775,1
I,0.45,0.35,0.145,0.525,1
NA,NA,NA,0.135,NA,NA
F,0.47,0.355,0.14,0.433,1
M,0.32,0.24,0.085,0.17,0
M,0.31,0.225,0.075,0.1295,0
M,0.235,NA,0.055,0.0515,NA
M,0.345,0.255,0.08,0.169,0
I,0.485,NA,0.14,NA,1
F,0.5,0.385,0.115,0.6785,1
F,0.5,0.385,0.105,0.498,1
NA,NA,0.36,NA,NA,1
F,0.525,NA,0.16,NA,1
F,0.425,0.335,0.095,0.322,0
F,0.38,0.305,0.095,0.2815,0
I,0.53,0.415,0.145,0.944,1
M,0.34,0.265,0.085,0.1835,0
I,NA,0.365,NA,0.49,NA
F,0.43,0.34,0.12,0.391,0
M,0.46,NA,0.125,NA,0
I,0.47,0.36,0.13,0.5225,0
M,0.36,NA,0.1,NA,0
M,0.355,0.265,0.09,0.168,0
M,0.38,0.235,0.1,0.258,0
M,NA,0.26,NA,0.1905,NA
I,0.44,0.345,0.12,0.487,1
F,0.51,NA,0.13,0.5735,NA
M,0.325,0.24,0.085,0.173,0
NA,NA,NA,0.18,NA,NA
F,NA,NA,0.16,0.9,1
M,0.33,0.255,0.095,0.1875,0
NA,NA,NA,0.13,NA,NA
NA,NA,0.33,NA,NA,1
M,0.33,0.215,0.075,0.1145,0
M,0.48,0.375,0.145,0.777,0
I,0.46,0.35,0.12,0.4885,1
F,0.475,0.36,0.125,0.447,0
M,NA,0.18,NA,0.079,NA
I,0.335,0.245,0.09,0.1665,0
I,0.47,NA,0.13,NA,1
M,0.31,0.225,0.08,0.1345,0
NA,NA,NA,0.11,NA,NA
M,0.295,0.215,0.075,0.129,0
F,NA,0.435,NA,0.97,NA
F,0.615,NA,0.17,NA,1
NA,0.58,0.49,0.195,NA,1
F,NA,0.475,NA,0.9585,NA
NA,NA,0.525,NA,NA,1
I,0.535,0.45,0.17,0.781,1
F,0.415,0.34,0.13,0.3675,0
F,0.38,0.305,0.105,0.281,1
NA,NA,0.355,NA,NA,1
F,0.395,0.295,0.095,0.2245,0
M,0.455,0.35,0.12,0.4835,1
F,0.485,0.38,0.15,0.605,1
M,0.55,0.425,0.155,0.9175,1
F,0.45,0.35,0.145,0.5425,1
M,0.475,0.385,0.145,0.6175,1
F,0.5,0.38,0.155,0.655,1
NA,NA,0.41,NA,NA,1
M,0.49,0.39,0.15,0.573,1
F,0.49,0.385,0.15,0.7865,1
F,0.52,0.395,0.18,0.64,1
NA,NA,NA,0.145,NA,NA
F,0.5,0.375,0.115,0.5945,1
NA,NA,NA,0.165,NA,NA
F,0.37,0.275,0.1,NA,NA
I,0.37,0.275,0.1,0.2295,0
M,0.485,0.37,0.14,0.5725,0
F,0.435,0.325,0.115,0.3915,0
NA,NA,0.405,NA,NA,1
M,0.51,0.4,0.14,0.6515,0
M,0.565,NA,0.185,NA,1
F,0.535,0.4,0.15,0.8045,1
F,0.535,0.405,0.125,0.927,1
M,0.525,0.4,0.17,0.7305,1
M,0.59,NA,0.15,NA,1
M,0.5,0.375,0.15,0.636,0
I,0.255,0.19,0.075,0.0865,0
F,0.43,0.325,0.115,NA,NA
M,0.38,NA,0.12,NA,0
I,0.165,0.11,0.02,0.019,0
I,0.315,0.23,0.09,0.1285,0
I,0.155,0.105,0.05,0.0175,0
M,0.28,0.205,0.1,NA,NA
F,0.43,0.335,0.12,0.444,1
NA,0.395,0.315,0.105,NA,1
M,0.385,0.285,0.105,0.2905,1
F,0.48,0.385,0.135,0.536,1
F,0.445,0.33,0.105,0.4525,0
